Name,long,lat,NameCN,Name2,Prov,MountainRange,elevTop,status
Tianmushan,119.4240681,30.34995686,天目山,Tianmushan (天目山),浙江,天目山,1506,已建
Daiyunshan,118.1866012,25.6834178,戴云山,Daiyunshan (戴云山),福建,东南沿海山系,1856,已建
Jinfuoshan,107.1914704,29.03331798,金佛山,Jinfuoshan (金佛山),重庆,东南沿海山系,2238,已建
Jade Dragon Snow Mt,100.1760214,27.09977236,玉龙雪山,Jade Dragon Snow Mt (玉龙雪山),云南,横断山脉,5596,已建
Dabieshan,116.1856033,31.11380275,大别山,Dabieshan (大别山),安徽,大别山,1729,已建
Gaoligongshan,98.73737261,25.13100364,高黎贡山,Gaoligongshan (高黎贡山),云南,横断山脉,3374,已建
Chebaling,114.2017172,24.77320935,车八岭,Chebaling (车八岭),广东,,1256,已建
Emeishan,103.3312981,29.51095962,峨眉山,Emeishan (峨眉山),四川,邛崃山,3099,在建
Guanshan,114.5835694,28.557125,官山,Guanshan (官山),江西,,1480,已建
Damingshan,108.43871,23.47709,大明山,Damingshan (大明山）,广西,,1760,在建
Qinling,107.7632614,33.95568209,秦岭,Qinling (秦岭),陕西,,3767,在建
Lishan,111.9619391,35.41807347,历山,Lishan (历山),山西,,2321,在建
Lushan,115.9574434,29.50161916,庐山,Lushan (庐山),江西,,1473,已建
Bawangling,109.2114,19.08661,霸王岭,Bawangling (霸王岭),海南,,,已建
WestTianshan,82.85111,44.15,西天山,WestTianshan (西天山),新疆,,,已建
